uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
2a8272fecb757a1452990dae4bfcb17a,"Aunque la experiencia de seguir los conciertos a través de una pantalla estuvo lejos del vértigo festivalero que producía tener que ir a las apuradas de una sala a otra, intercambiar breves impresiones con conocidos y extraños, tomar una cerveza a las apuradas, tirar el pucho por la mitad porque ya larga el concierto siguiente para acomodarse en una butaca escuchando aquellas saludables toses propias y ajenas, la densidad musical y la coherencia de la programación le dieron a la edición 2020 del Buenos Aires Jazz aire de festival. Acotado por las urgencias socio-sanitarias a dos días de actividades sábado y domingo y salvo dos conciertos al aire libre, obligado a volcarse en el recipiente de la grabación para llegar a través del streaming, el mayor encuentro de jazz del país dejó de todas maneras cierta sensación de felicidad. ",Buenos Aires Jazz: felicidad a pesar de todo,https://www.pagina12.com.ar/309067-buenos-aires-jazz-felicidad-a-pesar-de-todo,pagina12,www.pagina12.com.ar,5,74
4d4a99c2e14f96beba6cfcf64da2c997,"Todos Comen es un espacio que vincula a productores populares de alimentos y consumidores. Creado hace dos años, encara en estos días una nueva etapa, la de empezar a comercializar puerta a puerta, llevando a domicilio productos de empresas familiares, cooperativas y  empresas recuperadas. Un imaginario instalado nos dice que comprar por esta vía de las comercializadoras alternativas es comprar más barato: si se vende sin intermediarios, los precios deberían bajar. Pero la idea necesita ser dotada de mayor complejidad si se quiere que aguante el peso de lo real. Para el consumidor, comprar a una comercializadora alternativa es sumarse a un proyecto que lo va a conducir a productos de cooperativas y pequeñas empresas; saber que su dinero se va a destinar en un 80 por ciento a retribuir al productor...y finalmente comprar sin pagar más que en un supermercado. Y eso es muchísimo, asegura Enrique Martínez.","Qué es Todos Comen, el sitio web para comprar comida que vincula a productores populares y consumidores",https://www.pagina12.com.ar/309037-que-es-todos-comen-el-sitio-web-para-comprar-comida-que-vinc,pagina12,www.pagina12.com.ar,9,79
f8accfc8716e85df3f040d6e4845380f,"La caída de meteoritos- de tamaños pequeños-, sobre la Tierra es un fenómeno bastante común. Sin embargo, muy pocas veces queda registrado en imágenes. Esta vez, en Japón se pudo capturar el momento en el que el astro ingresó en la atmosfera..",Un meteorito atravesó la atmósfera y cayó en Japón,https://www.pagina12.com.ar/308866-un-meteorito-atraveso-la-atmosfera-y-cayo-en-japon,pagina12,www.pagina12.com.ar,5,20
71a5d95e9069203b1c14f6804c4e60ac,"En paralelo a la legalización del autocultivo de cannabis con fines medicinales por parte del Gobierno, la Universidad Nacional de Quilmes (UNQ) presentó el Diploma de Posgrado en Cannabis, Regulación y Políticas de Drogas, que plantea un abordaje multidisciplinario para comprender el paradigma prohibicionista alrededor de la planta y profundizar el conocimiento y la divulgación científica sobre los usos, las posibilidades y los sistemas regulatorios.",Abren un posgrado sobre cannabis en Quilmes,https://www.pagina12.com.ar/307946-abren-un-posgrado-sobre-cannabis-en-quilmes,pagina12,www.pagina12.com.ar,4,35
7ae26ebb376d4fd140dbb3773aa9f647,"Luego de los escraches y actos intimidatorios que las organizaciones antiderechos concretaron contra legisladores que apoyan el proyecto de Interrupción Voluntaria del Embarazo (IVE), la Cámara de Diputados constituyó un cuerpo de abogados para garantizar la defensa de la intimidad y la libertad de cada legislador para expresar su opinión.",Aborto legal: Diputados busca poner un límite a los escraches celestes,https://www.pagina12.com.ar/308997-aborto-legal-diputados-busca-poner-un-limite-a-los-escraches,pagina12,www.pagina12.com.ar,8,27
15c06183b450884bbe319beffeb06606,"El abogado de la enfermera Dahiana Gisela Madrid, quien reveló inconsistencias en la atención médica de los últimos días de Diego Maradona, reveló que el ídolo futbolístico tuvo una caída en la que se golpeó la cabeza una semana antes de su muerte y no fue llevado a realizarse chequeos, a pesar de que antes había sido operado por un hematoma subdural. ",La enfermera dijo que Maradona se golpeó la cabeza una semana antes de morir,https://www.pagina12.com.ar/308998-la-enfermera-dijo-que-maradona-se-golpeo-la-cabeza-una-seman,pagina12,www.pagina12.com.ar,7,29
d4e123e8a404bebb199a8fe684768e3d, ,Lidera el rebote a nivel nacional,https://www.pagina12.com.ar/308859-lidera-el-rebote-a-nivel-nacional,pagina12,www.pagina12.com.ar,4,0
5eaa5c5532c8c96344fa46ef8ad36580,"El presidente electo de Estados Unidos, Joe Biden, anunció los nombres del equipo económico que lo acompañará a partir del próximo 20 de enero. Se trata de un grupo de economistas progresistas y diversos entre los que destaca Janet Yellen como nominada al Tesoro. Todos los funcionarios presentados por Biden prestaron servicios en los dos gobiernos demócratas previos, los de Barack Obama y Bill Clinton. En paralelo, el mandatario electo nombró a su equipo de comunicación para la Casa Blanca, que por primera vez en la historia del país estará integrado únicamente por mujeres. Mientras Biden ultima los preparativos de su asunción, el presidente Donald Trump se niega a dejar el poder y continúa agitando la bandera del fraude electoral, impulsando demandas en todo el país que caen una por una.",Joe Biden anunció un equipo económico diverso y confirmó a Janet Yellen para el Tesoro,https://www.pagina12.com.ar/309044-joe-biden-anuncio-un-equipo-economico-diverso-y-confirmo-a-j,pagina12,www.pagina12.com.ar,10,71
2ff1107a231d723e287b4a6b34aade0a,"Ya no debería ser un secreto: si la mayoría de los Estados del mundo, pobres y ricos, son incapaces de hacer frente a la pandemia de covid-19 hoy en día, también se debe a la persistencia de los paraísos fiscales. ",Luchar contra el secreto financiero es una forma de combatir la pandemia ,https://www.pagina12.com.ar/308319-luchar-contra-el-secreto-financiero-es-una-forma-de-combatir,pagina12,www.pagina12.com.ar,6,18
e5884ea3c09c9477853f76e46593bfd5,"Una mujer de 49 años fue encontrada asfixiada este fin de semana en el interior de su casa del distrito bonaerense de Quilmes, al sudeste del conurbano bonaerense. Como principal sospechoso fue detenido su marido, quien quedó imputado por ""homicidio calificado por mediar violencia de género agravado por el vínculo"".",Femicidio en Quilmes: una mujer apareció asfixiada en su casa,https://www.pagina12.com.ar/309051-femicidio-en-quilmes-una-mujer-aparecio-asfixiada-en-su-casa,pagina12,www.pagina12.com.ar,6,27
